央视,#genre#
嘉佳卡通,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226193/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226227/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226227/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226227/index.m3u8
优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225665/index.m3u8
金鹰卡通,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226246/index.m3u8?fmt=ts2hls#http://39.134.65.162/PLTV/88888888/224/3221225561/index.m3u8#http://60.10.167.88:808/hls/50/index.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226296/1/index.m3u8?fmt=ts2hls
山东教育卫视,http://111.20.33.70/PLTV/88888893/224/3221226238/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225719/index.m3u8
农林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226204/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226229/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226229/index.m3u8
安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225531/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226195/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226228/index.m3u8
康巴卫视,http://111.20.33.70/PLTV/88888893/224/3221226234/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226207/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226234/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
西藏藏语卫视,http://111.40.196.29/PLTV/88888888/224/3221225676/index.m3u8
凤凰卫视中文台,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226547/index.m3u8
凤凰卫视资讯台,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226546/index.m3u8
数字付费,#genre#
CHC-动作电影,http://111.20.33.70/PLTV/88888893/224/3221226465/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC-家庭影院,http://111.20.33.70/PLTV/88888893/224/3221226462/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8
CHC-高清电影,http://111.20.33.70/PLTV/88888893/224/3221226463/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8
CETV-1,http://39.134.65.162/PLTV/88888888/224/3221225563/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225917/index.m3u8?fmt=ts2hls#8#http://txycsbl.centv.cn/zb/0104cetv1.m3u8
CETV-2,http://txycsbl.centv.cn/zb/0104cetv2.m3u8
CETV-3,http://111.20.33.70/PLTV/88888893/224/3221226226/index.m3u8#http://txycsbl.centv.cn/zb/0104cetv3.m3u8
CETV-4,http://111.20.33.70/PLTV/88888893/224/3221226225/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225937/index.m3u8#http://txycsbl.centv.cn/zb/0104cetv4.m3u8
中央新影-老故事,http://111.20.33.70/PLTV/88888893/224/3221226236/index.m3u8#http://60.10.167.88:808/hls/54/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226236/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
中央新影-发现之旅,http://111.20.33.70/PLTV/88888893/224/3221226235/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
CCTV-世界地理,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513303.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
CCTV-怀旧剧场,http://60.10.167.88:808/hls/56/index.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
CCTV-电视指南,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls
